"COU","Country","IND","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"JPN","Japan","EMPGG","Employment in general government","2012","2012",3955,,
"JPN","Japan","EMPGG","Employment in general government","2013","2013",3939,,
"JPN","Japan","EMPGG","Employment in general government","2014","2014",3939,,
"JPN","Japan","EMPGG","Employment in general government","2015","2015",3933,,
"JPN","Japan","EMPGG","Employment in general government","2016","2016",3963,,
"JPN","Japan","EMPGG","Employment in general government","2017","2017",3978,,
"JPN","Japan","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",10.6,,
"JPN","Japan","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",9.5,,
"JPN","Japan","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",9.3,,
"JPN","Japan","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",10.2,,
"JPN","Japan","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",9.9,,
"JPN","Japan","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",11.8,,
"JPN","Japan","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",22.2,,
"JPN","Japan","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",15.8,,
"JPN","Japan","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",5.3,,
"JPN","Japan","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",10,,
"KOR","Korea","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",7.65,,
"KOR","Korea","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",7.75,,
"KOR","Korea","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",7.77,,
"KOR","Korea","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",8.13,,
"KOR","Korea","EMPGG","Employment in general government","2016","2016",2034,,
"KOR","Korea","EMPGG","Employment in general government","2017","2017",2084,,
"KOR","Korea","EMPGG","Employment in general government","2018","2018",2097,,
"KOR","Korea","EMPGG","Employment in general government","2019","2019",2220,,
"KOR","Korea","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",15.7,,
"KOR","Korea","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",16.3,,
"KOR","Korea","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",17,,
"KOR","Korea","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",17.1,,
"KOR","Korea","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",19,,
"KOR","Korea","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",11.1,,
"KOR","Korea","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",5.9,,
"KOR","Korea","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",9.1,,
"KOR","Korea","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",22.2,,
"KOR","Korea","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",27.78,,
"LUX","Luxembourg","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",11.12,,
"LUX","Luxembourg","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",10.87,,
"LUX","Luxembourg","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",11.38,,
"LUX","Luxembourg","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",12.32,,
"LUX","Luxembourg","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",12.35,,
"LUX","Luxembourg","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",12.42,,
"LUX","Luxembourg","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",12.54,,
"LUX","Luxembourg","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",12.48,,
"LUX","Luxembourg","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",12.39,,
"LUX","Luxembourg","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",12.24,,
"LUX","Luxembourg","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",12.2,,
"LUX","Luxembourg","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",12.21,,
"LUX","Luxembourg","EMPGG","Employment in general government","2007","2007",37.1,,
"LUX","Luxembourg","EMPGG","Employment in general government","2008","2008",38,,
"LUX","Luxembourg","EMPGG","Employment in general government","2009","2009",40.2,,
"LUX","Luxembourg","EMPGG","Employment in general government","2010","2010",44.3,,
"LUX","Luxembourg","EMPGG","Employment in general government","2011","2011",45.7,,
"LUX","Luxembourg","EMPGG","Employment in general government","2012","2012",47.1,,
"LUX","Luxembourg","EMPGG","Employment in general government","2013","2013",48.4,,
"LUX","Luxembourg","EMPGG","Employment in general government","2014","2014",49.4,,
"LUX","Luxembourg","EMPGG","Employment in general government","2015","2015",50.3,,
"LUX","Luxembourg","EMPGG","Employment in general government","2016","2016",51.2,,
"LUX","Luxembourg","EMPGG","Employment in general government","2017","2017",52.8,,
"LUX","Luxembourg","EMPGG","Employment in general government","2018","2018",54.8,,
"LUX","Luxembourg","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",25,,
"LUX","Luxembourg","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",28.3,,
"LUX","Luxembourg","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",28.3,,
"LUX","Luxembourg","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",25,,
"LUX","Luxembourg","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",31.7,,
"LUX","Luxembourg","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",26.7,,
"LUX","Luxembourg","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",26.7,,
"LUX","Luxembourg","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",20,,
"LUX","Luxembourg","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",29.4,,
"LUX","Luxembourg","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",29.41,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",11.18,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",13.15,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",12.77,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",12.98,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",12.84,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",12.78,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",12.79,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",12.8,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",12.79,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",12.64,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",12.61,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",12.56,,
"MEX","Mexico","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",12.5,,
"MEX","Mexico","EMPGG","Employment in general government","2007","2007",4538.4,,
"MEX","Mexico","EMPGG","Employment in general government","2008","2008",4617,,
"MEX","Mexico","EMPGG","Employment in general government","2009","2009",4759.5,,
"MEX","Mexico","EMPGG","Employment in general government","2010","2010",4906.2,,
"MEX","Mexico","EMPGG","Employment in general government","2011","2011",4986.6,,
"MEX","Mexico","EMPGG","Employment in general government","2012","2012",5114.5,,
"MEX","Mexico","EMPGG","Employment in general government","2013","2013",5161.1,,
"MEX","Mexico","EMPGG","Employment in general government","2014","2014",5237.3,,
"MEX","Mexico","EMPGG","Employment in general government","2015","2015",5325.3,,
"MEX","Mexico","EMPGG","Employment in general government","2016","2016",5341.1,,
"MEX","Mexico","EMPGG","Employment in general government","2017","2017",5384.4,,
"MEX","Mexico","EMPGG","Employment in general government","2018","2018",5453.4,,
"MEX","Mexico","EMPGG","Employment in general government","2019","2019",5439.1,,
"MEX","Mexico","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",36.8,,
"MEX","Mexico","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",42.4,,
"MEX","Mexico","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",42.6,,
"MEX","Mexico","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",48.2,,
"MEX","Mexico","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",48.2,,
"MEX","Mexico","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",21.1,,
"MEX","Mexico","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",17.6,,
"MEX","Mexico","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",15.8,,
"MEX","Mexico","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",42.1,,
"MEX","Mexico","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",42.11,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",12.81,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",12.77,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",13.07,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",13.35,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",13,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",12.83,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",12.82,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",12.69,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",12.49,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",12.26,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",12,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",11.74,,
"NLD","Netherlands","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",11.71,,
"NLD","Netherlands","EMPGG","Employment in general government","2007","2007",1124,,
"NLD","Netherlands","EMPGG","Employment in general government","2008","2008",1138,,
"NLD","Netherlands","EMPGG","Employment in general government","2009","2009",1155,,
"NLD","Netherlands","EMPGG","Employment in general government","2010","2010",1172,,
"NLD","Netherlands","EMPGG","Employment in general government","2011","2011",1151,,
"NLD","Netherlands","EMPGG","Employment in general government","2012","2012",1134,,
"NLD","Netherlands","EMPGG","Employment in general government","2013","2013",1120,,
"NLD","Netherlands","EMPGG","Employment in general government","2014","2014",1107,,
"NLD","Netherlands","EMPGG","Employment in general government","2015","2015",1100,,
"NLD","Netherlands","EMPGG","Employment in general government","2016","2016",1096,,
"NLD","Netherlands","EMPGG","Employment in general government","2017","2017",1099,,
"NLD","Netherlands","EMPGG","Employment in general government","2018","2018",1103,,
"NLD","Netherlands","EMPGG","Employment in general government","2019","2019",1121,,
"NLD","Netherlands","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",38.7,,
"NLD","Netherlands","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",37.3,,
"NLD","Netherlands","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",38,,
"NLD","Netherlands","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",31.3,,
"NLD","Netherlands","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",33.3,,
"NLD","Netherlands","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",33.3,,
"NLD","Netherlands","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",46.7,,
"NLD","Netherlands","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",37.5,,
"NLD","Netherlands","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",35.3,,
"NLD","Netherlands","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",47.06,,
"NZL","New Zealand","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",32.2,,
"NZL","New Zealand","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",31.4,,
"NZL","New Zealand","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",34.2,,
"NZL","New Zealand","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",40,,
"NZL","New Zealand","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",48.3,,
"NZL","New Zealand","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",28.6,,
"NZL","New Zealand","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",33.3,,
"NZL","New Zealand","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",37,,
"NZL","New Zealand","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",30.8,,
"NZL","New Zealand","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",40,,
"NOR","Norway","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",29.62,,
"NOR","Norway","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",29.17,,
"NOR","Norway","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",29.82,,
"NOR","Norway","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",30.27,,
"NOR","Norway","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",30.42,,
"NOR","Norway","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",30.3,,
"NOR","Norway","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",30.35,,
"NOR","Norway","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",30.4,,
"NOR","Norway","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",30.59,,
"NOR","Norway","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",30.83,,
"NOR","Norway","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",30.83,,
"NOR","Norway","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",30.69,,
"NOR","Norway","EMPGG","Employment in general government","2007","2007",736,,
"NOR","Norway","EMPGG","Employment in general government","2008","2008",748,,
"NOR","Norway","EMPGG","Employment in general government","2009","2009",762,,
"NOR","Norway","EMPGG","Employment in general government","2010","2010",771,,
"NOR","Norway","EMPGG","Employment in general government","2011","2011",786,,
"NOR","Norway","EMPGG","Employment in general government","2012","2012",799,,
"NOR","Norway","EMPGG","Employment in general government","2013","2013",809,,
"NOR","Norway","EMPGG","Employment in general government","2014","2014",819,,
"NOR","Norway","EMPGG","Employment in general government","2015","2015",828,,
"NOR","Norway","EMPGG","Employment in general government","2016","2016",837,,
"NOR","Norway","EMPGG","Employment in general government","2017","2017",847,,
"NOR","Norway","EMPGG","Employment in general government","2018","2018",857,,
"NOR","Norway","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",39.6,,
"NOR","Norway","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",39.6,,
"NOR","Norway","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",39.6,,
"NOR","Norway","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",40.8,,
"NOR","Norway","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",44.4,,
"NOR","Norway","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",52.6,,
"NOR","Norway","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",47.1,,
"NOR","Norway","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",38.9,,
"NOR","Norway","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",42.1,,
"NOR","Norway","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",38.89,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",17.43,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",16.68,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",16.07,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",16.01,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",16.32,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",16.69,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",16.87,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",16.78,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",16.98,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",16.72,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",17.19,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",17.21,,
"POL","Poland","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",17.25,,
"POL","Poland","EMPGG","Employment in general government","2007","2007",2642,,
"POL","Poland","EMPGG","Employment in general government","2008","2008",2624,,
"POL","Poland","EMPGG","Employment in general government","2009","2009",2537,,
"POL","Poland","EMPGG","Employment in general government","2010","2010",2461,,
"POL","Poland","EMPGG","Employment in general government","2011","2011",2523,,
"POL","Poland","EMPGG","Employment in general government","2012","2012",2582,,
"POL","Poland","EMPGG","Employment in general government","2013","2013",2609,,
"POL","Poland","EMPGG","Employment in general government","2014","2014",2639,,
"POL","Poland","EMPGG","Employment in general government","2015","2015",2712,,
"POL","Poland","EMPGG","Employment in general government","2016","2016",2692,,
"POL","Poland","EMPGG","Employment in general government","2017","2017",2805,,
"POL","Poland","EMPGG","Employment in general government","2018","2018",2823,,
"POL","Poland","EMPGG","Employment in general government","2019","2019",2822,,
"POL","Poland","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",23.7,,
"POL","Poland","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",27.4,,
"POL","Poland","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",28,,
"POL","Poland","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",29.1,,
"POL","Poland","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",28.3,,
"POL","Poland","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",22.2,,
"POL","Poland","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",27.8,,
"POL","Poland","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",22.7,,
"POL","Poland","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",27.3,,
"POL","Poland","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",4.76,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",14.49,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",14.41,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",14.95,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",15.19,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",15.04,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",15.51,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",15.62,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",15.16,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",14.84,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",14.73,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",14.34,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",14.08,,
"PRT","Portugal","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",14.07,,
"PRT","Portugal","EMPGG","Employment in general government","2007","2007",733.46,,
"PRT","Portugal","EMPGG","Employment in general government","2008","2008",732.05,,
"PRT","Portugal","EMPGG","Employment in general government","2009","2009",738.94,,
"PRT","Portugal","EMPGG","Employment in general government","2010","2010",740,,
"PRT","Portugal","EMPGG","Employment in general government","2011","2011",718.33,,
"PRT","Portugal","EMPGG","Employment in general government","2012","2012",710.4,,
"PRT","Portugal","EMPGG","Employment in general government","2013","2013",695.1,,
"PRT","Portugal","EMPGG","Employment in general government","2014","2014",684.03,,
"PRT","Portugal","EMPGG","Employment in general government","2015","2015",679.03,,
"PRT","Portugal","EMPGG","Employment in general government","2016","2016",684.98,,
"PRT","Portugal","EMPGG","Employment in general government","2017","2017",688.62,,
"PRT","Portugal","EMPGG","Employment in general government","2018","2018",691.8,,
"PRT","Portugal","EMPGG","Employment in general government","2019","2019",696.88,,
"PRT","Portugal","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",28.7,,
"PRT","Portugal","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",34.8,,
"PRT","Portugal","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",34.8,,
"PRT","Portugal","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",35.7,,
"PRT","Portugal","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",40,,
"PRT","Portugal","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",18.2,,
"PRT","Portugal","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",28.6,,
"PRT","Portugal","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",22.2,,
"PRT","Portugal","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",29.4,,
"PRT","Portugal","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",42.11,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",19.38,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",18.73,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",18.89,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",19.54,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",19.62,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",19.38,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",19.58,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",19.48,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",19.4,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",19,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",18.71,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",18.49,,
"SVK","Slovak Republic","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",18.52,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2007","2007",421.86,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2008","2008",420.79,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2009","2009",416.1,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2010","2010",423.88,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2011","2011",433.37,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2012","2012",428.24,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2013","2013",429.28,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2014","2014",433.1,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2015","2015",439.9,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2016","2016",441,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2017","2017",443.96,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2018","2018",447.43,,
"SVK","Slovak Republic","EMPGG","Employment in general government","2019","2019",452.79,,
"SVK","Slovak Republic","EMPW_PARL","Gender equality in parliament, percentage of women","2012","2012",17.3,,
"SVK","Slovak Republic","EMPW_PARL","Gender equality in parliament, percentage of women","2015","2015",18.7,,
"SVK","Slovak Republic","EMPW_PARL","Gender equality in parliament, percentage of women","2017","2017",20,,
"SVK","Slovak Republic","EMPW_PARL","Gender equality in parliament, percentage of women","2019","2019",20,,
"SVK","Slovak Republic","EMPW_PARL","Gender equality in parliament, percentage of women","2021","2021",22.7,,
"SVK","Slovak Republic","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2012","2012",14.3,,
"SVK","Slovak Republic","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2015","2015",0,,
"SVK","Slovak Republic","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2017","2017",14.3,,
"SVK","Slovak Republic","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2019","2019",35.7,,
"SVK","Slovak Republic","EMPW_MIN","Gender equality in ministerial positions, percentage of women","2021","2021",20,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2007","2007",13.43,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2008","2008",13.74,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2009","2009",14.89,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2010","2010",15.31,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2011","2011",16,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2012","2012",16.26,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2013","2013",16.73,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2014","2014",16.55,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2015","2015",16.21,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2016","2016",15.95,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2017","2017",15.67,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2018","2018",15.65,,
"ESP","Spain","EMPGG_TOT","Employment in general goverrnment as a percentage of total employment","2019","2019",15.58,,
"ESP","Spain","EMPGG","Employment in general government","2007","2007",2843,,
"ESP","Spain","EMPGG","Employment in general government","2008","2008",2913,,
"ESP","Spain","EMPGG","Employment in general government","2009","2009",2957,,
"ESP","Spain","EMPGG","Employment in general government","2010","2010",2986,,
